subjectID,riskygain,riskyloss,certainalternative,choice,subjectID2,Round
1,2,-4,0,0,1,1
1,2,-2.222222222,0,0,1,2
1,2,-1.818181818,0,0,1,3
1,2,-1.538461538,0,0,1,4
1,2,-1.333333333,0,0,1,5
1,2,-1.176470588,0,0,1,6
1,2,-1.052631579,0,1,1,7
1,2,-0.952380952,0,1,1,8
1,2,-0.869565217,0,1,1,9
1,2,-0.8,0,1,1,10
1,2,-0.64516129,0,1,1,11
1,2,-0.540540541,0,1,1,12
1,2,-0.434782609,0,1,1,13
1,2,-0.344827586,0,1,1,14
1,2,-0.285714286,0,1,1,15
1,7,-14,0,0,1,16
1,7,-7.777777778,0,0,1,17
1,7,-6.363636364,0,0,1,18
1,7,-5.384615385,0,0,1,19
1,7,-4.666666667,0,0,1,20
1,7,-4.117647059,0,0,1,21
1,7,-3.684210526,0,1,1,22
1,7,-3.333333333,0,1,1,23
1,7,-3.043478261,0,1,1,24
1,7,-2.8,0,1,1,25
1,7,-2.258064516,0,1,1,26
1,7,-1.891891892,0,1,1,27
1,7,-1.52173913,0,1,1,28
1,7,-1.206896552,0,1,1,29
1,7,-1,0,1,1,30
1,10,-20,0,0,1,31
1,10,-11.11111111,0,0,1,32
1,10,-9.090909091,0,0,1,33
1,10,-7.692307692,0,0,1,34
1,10,-6.666666667,0,0,1,35
1,10,-5.882352941,0,0,1,36
1,10,-5.263157895,0,1,1,37
1,10,-4.761904762,0,1,1,38
1,10,-4.347826087,0,1,1,39
1,10,-4,0,1,1,40
1,10,-3.225806452,0,1,1,41
1,10,-2.702702703,0,1,1,42
1,10,-2.173913043,0,1,1,43
1,10,-1.724137931,0,1,1,44
1,10,-1.428571429,0,1,1,45
1,5,-7.142857143,0,0,1,46
1,5,-5,0,0,1,47
1,5,-4.166666667,0,0,1,48
1,5,-3.571428571,0,0,1,49
1,5,-3.125,0,0,1,50
1,5,-2.777777778,0,1,1,51
1,5,-2.5,0,1,1,52
1,5,-2.272727273,0,1,1,53
1,5,-2.083333333,0,1,1,54
1,5,-1.785714286,0,1,1,55
1,5,-1.470588235,0,1,1,56
1,5,-1.25,0,1,1,57
1,5,-0.961538462,0,1,1,58
1,5,-0.78125,0,1,1,59
1,5,-0.5,0,1,1,60
1,8,-11.42857143,0,0,1,61
1,8,-8,0,0,1,62
1,8,-6.666666667,0,0,1,63
1,8,-5.714285714,0,0,1,64
1,8,-5,0,0,1,65
1,8,-4.444444444,0,0,1,66
1,8,-4,0,1,1,67
1,8,-3.636363636,0,1,1,68
1,8,-3.333333333,0,1,1,69
1,8,-2.857142857,0,1,1,70
1,8,-2.352941176,0,1,1,71
1,8,-2,0,1,1,72
1,8,-1.538461538,0,1,1,73
1,8,-1.25,0,1,1,74
1,8,-0.8,0,1,1,75
1,12,-17.14285714,0,0,1,76
1,12,-12,0,0,1,77
1,12,-10,0,0,1,78
1,12,-8.571428571,0,0,1,79
1,12,-7.5,0,0,1,80
1,12,-6.666666667,0,1,1,81
1,12,-6,0,1,1,82
1,12,-5.454545455,0,1,1,83
1,12,-5,0,1,1,84
1,12,-4.285714286,0,1,1,85
1,12,-3.529411765,0,1,1,86
1,12,-3,0,1,1,87
1,12,-2.307692308,0,1,1,88
1,12,-1.875,0,1,1,89
1,12,-1.2,0,1,1,90
1,2,0,0.428621991,1,1,91
1,26.5461704,0,7,1,1,92
1,5,0,1.544364012,1,1,93
1,17.14973069,0,6,1,1,94
1,8,0,3.095423889,1,1,95
1,10.0793684,0,4,1,1,96
1,12,0,4.877903448,1,1,97
1,7.213929307,0,3,1,1,98
1,16,0,6.799516198,1,1,99
1,2.305083923,0,1,1,1,100
1,2,0,0.884865086,0,1,101
1,15.52778572,0,7,0,1,102
1,5,0,2.294743002,0,1,103
1,12.85148884,0,6,0,1,104
1,8,0,3.796660986,0,1,105
1,8.297240356,0,4,0,1,106
1,12,0,5.872743655,0,1,107
1,6.042156326,0,3,0,1,108
1,16,0,8.055091573,0,1,109
1,1.960027351,0,1,0,1,110
1,2,0,1.033557783,0,1,111
1,13.37933366,0,7,0,1,112
1,5,0,2.647254507,0,1,113
1,11.20338975,0,6,0,1,114
1,8,0,4.446106088,0,1,115
1,6.964404506,0,4,0,1,116
1,12,0,7.097872912,0,1,117
1,4.939575148,0,3,0,1,118
1,16,0,9.952565722,0,1,119
1,1.573082976,0,1,0,1,120
1,7.5,0,6,0,1,121
1,5,0,5,0,1,122
1,9,0,9,0,1,123
1,15,0,2,1,1,124
1,9,0,1,1,1,125
